"Cliente - Nome","Cliente - CNPJ","Cliente - Estado","Cliente - Cidade","rua"
"BLUE TINTAS LTDA","01050029000906","SE","ARACAJU","AV  ADELIA FRANCO,3006-,49048-010"
"BMB MATERIAL DE CONSTRUCAO S A","23476033000299","SP","SAO PAULO","AV DO ESTADO,6313-,03105-005"
"BMB MATERIAL DE CONSTRUCAO S A","23476033000299","SP","SAO PAULO","AV DO ESTADO,6313-,03105-005"
"BOTTINO MATERIAIS DE CONSTRUCAO LTDA","05879152000987","RJ","RIO DE JANEIRO","AV  DAS AMERICAS,21783-,22790-851"
"BRASCAMPO PROD AGROPECUARIOS LTDA","05808085000152","MS","CAMPO GRANDE","AV CALOGERAS,784-,79004-380"
"CAMALEAO COMERCIO & IMPORTACAO LTDA","03477317000101","AP","MACAPA","ROD  BR 156,1579-,68909-094"
"CASA & TINTA COMERCIAL LTDA","20841771000976","MG","BELO HORIZONTE","R CONQUISTA,181-,30710-160"
"CASA & TINTA COMERCIAL LTDA","20841771002758","MG","CONTAGEM","AV JOSE FARIA DA ROCHA,4985-LJ 01,32310-210"
"CASA DAS CORES COM DE TINTAS LTDA","01869728000117","MS","CAMPO GRANDE","R 13 DE MAIO,1860-,79004-423"
"CASA DAS TINTAS COMERCIAL LTDA","13073747001436","SE","ARACAJU","R 12-B SANTA MARIA,194-LT 20 QD 02,49044-166"
"CASA DAS TINTAS DE ANAPOLIS LTDA","33229030000638","GO","GOIANIA","AV  PIO XII,419-Q 94 LT 3 E 4,74425-098"
"CASA DAS TINTAS MABA LTDA","83619163000184","SC","JARAGUA DO SUL","R EXP CABO HARRY HADLICH,47-,89251-380"
"CASA DAS TINTAS MOOCA EIRELI","25055825000134","SP","GUARULHOS","AV RIO REAL,118-,07170-000"
"CASA DAS TINTAS SAO BENTO LTDA","82770942000113","SC","SAO BENTO DO SUL","R ANTONIO KAESEMODEL,903-,89287-465"
"CASA DE TINTAS MANOLO LTDA","53469029000183","SP","SAO PAULO","R MARIA AMALIA L AZEVEDO,987-,02350-000"
"CASA DE TINTAS MANOLO LTDA","53469029000183","SP","SAO PAULO","R MARIA AMALIA L AZEVEDO,987-,02350-000"
"CASA DE TINTAS TINTI LTDA ME","44550549000125","SP","SAO PAULO","Avenida Jardim Japão,247-Anexo 251,02221-000"
"CASA DE TINTAS TINTI LTDA ME","44550549000125","SP","SAO PAULO","Avenida Jardim Japão,247-Anexo 251,02221-000"
"CASA TONI COMERCIO DE TINTAS LTDA","59428847000114","SP","SAO PAULO","PC  CIVICA,51-,05050-060"
"CASA TONI COMERCIO DE TINTAS LTDA","59428847000114","SP","SAO PAULO","PC  CIVICA,51-,05050-060"
"CASA UNIVERSAL LTDA","14208136000104","AM","MANAUS","AV  FLORIANO PEIXOTO,210-,69005-070"
"CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA","75362160000180","SC","SAO JOSE","AV PRES KENNEDY,1284-,88102-400"
"CASSOL MATERIAIS DE CONSTRUCAO LTDA","75400218001457","RS","PORTO ALEGRE","AV  FRANCISCO SILVEIRA BITENCOURT,1295-,91150-010"
"CCS TINTAS E MATERIAIS PARA CONSTRUCAO LTDA","04031602000167","MG","UBERABA","R  VERISSIMO,382-,38022-090"
"CD MAX IND E COM DE TINTAS LTDA","00777674001330","MS","CAMPO GRANDE","R TREZE MAIO,544-QD 07 LT D,79004-420"
"CD MAX IND E COM DE TINTAS LTDA","00777674000873","MT","CUIABA","AV  MARIO CORREA,260-,78025-140"
"CENTRAL COM DE TINTAS LTDA ME","13761344000165","PR","MARINGA","AV  BRASIL,2469-,87050-000"
"CENTRO DE DISTRIB MAT DE CONSTRUCAO MG LTDA","09573134000338","MG","MONTES CLAROS","AV GOVERNADOR MAGALHAES PINTO,6251-BLOCO A LOJA 2,39404-166"
"CHUVEIRAO COM DE MAT PARA CONSTRUCAO LTDA","08378660000112","SP","PRESIDENTE PRUDENTE","AV BRASIL,1097-,19010-032"
"CIMEC COMERCIO SERVICOS IMPORTACAO E EXP LTDA","04843899000165","AC","RIO BRANCO","V CHICO MENDES,2307-,69906-134"
"CLODOALDO & CIA LTDA","48031843000181","SP","SAO PAULO","R  MARTIM FRANCISCO,507-19,01226-003"
"CLODOALDO & CIA LTDA","48031843000181","SP","SAO PAULO","R  MARTIM FRANCISCO,507-19,01226-003"
"COCIL CONSTR CIVIS E INDUSTRIAIS LTDA","04386041000119","AM","MANAUS","R PARA,66-,69053-070"
"CODERPLAST REPRES COMERCIAIS LTDA EPP","78839776000197","SC","SAO JOSE","ROD  BR CENTO E UM,SN-KM 202,88113-100"
"COLOR TINTAS DISTRIB LTDA","05238995000651","RS","IJUI","R  DO COMERCIO,575-TER,98700-000"
"COLOR TINTAS VENANCIO LTDA EPP","14370288000109","RS","VENANCIO AIRES","R VOLUNTARIOS DA PATRIA,1900-,95800-000"
"COMERCIAL CATARINA EIRELI","21976210000190","RS","ERECHIM","R ITALIA,698-,99700-066"
"COMERCIAL CHUVEIRAO DAS TINTAS LTDA","46431102002025","SP","OURINHOS","R S PAULO,515-,19900-051"
"COMERCIAL CHUVEIRAO DAS TINTAS LTDA","46431102000162","SP","PRESIDENTE PRUDENTE","AV BRASIL,325-347,19010-030"
"COMERCIAL DE TINTAS AUTOMOTIVAS LTDA","27904417000135","SE","ARACAJU","R MANOEL ESPIRITO SANTO,468-,49025-440"
"COMERCIAL E INDUSTRIAL RONSY LTDA","02400983000189","AC","RIO BRANCO","R S PAULO,500-,69900-276"
"COMERCIAL IVAIPORA LTDA","52744230141313","PR","IVAIPORA","#N/A"
"COMERCIAL JAPURA LTDA ME","12986279000103","RN","NATAL","AV AMINTAS BARROS,2747-LOTE LOTE 04,59062-350"
"COMERCIAL MENDES ROSA LTDA","49219173000194","SP","FRANCA","R FR GERMANO,1984-,14405-215"
"COMERCIAL MULT TINTAS RIO PRETO LTDA","33559101000156","SP","SAO JOSE DO RIO PRETO","AV FELICIANO SALLES CUNHA,673-,15035-075"
"COMERCIO DE MAT DE CONST CARAMURU LTDA ME","00982274000123","SC","JOINVILLE","R  DOS MECANICOS,47-,89231-500"
"COMERCIO DE MAT DE CONST SILVA SALAH LTDA EPP","00113435000142","SC","JOINVILLE","R MARECHAL LUZ,898-,89230-868"
"COMERCIO DE MATERIAIS CONSTRUCAO STEIL EIRELI","83438739000107","SC","JOINVILLE","R HERMANN LANGE,239-,89219-160"
"COMERCIO DE TINTAS ALTO URUGUAI EIRELI - ME","15641993000158","RS","ERECHIM","R MACHADO DE ASSIS,1010-,99704-256"
"COMERCIO DE TINTAS DO BOSQUE EIRELI","33626531000143","AC","RIO BRANCO","R QUINTINO BOCAIUVA,1679-,69900-670"
"COMERCIO DE TINTAS GERHARDT LTDA","06102585000137","RS","NOVO HAMBURGO","AV CEL FREDERICO LINCK,441-PREDIO,93336-001"
"COMERCIO DE TINTAS MACHADO LIMITADA","49444870000149","SP","GUARULHOS","AV  SANTOS DUMONT,440-,07180-270"
"COMERCIO DE TINTAS MAT ELETRICO E HID VERGINIA LTDA","84866342000189","PR","CURITIBA","AV VER TOALDO TULIO,2185-LJ 2,82320-010"
"COMERCIO DE TINTAS MAT ELETRICO E HID VERGINIA LTDA","84866342003013","SC","FLORIANOPOLIS","ROD SC 405,2707-,88065-000"
"COMERCIO DE TINTAS MELO LTDA","02231801000193","GO","GOIANIA","AV  T 7,566-,74210-260"
"COMERCIO MATERIAL CONSTRUCAO BENEVENUTTI LTDA ME","83205526000135","SC","JOINVILLE","R XV DE NOVEMBRO,5380-,89211-595"
"CONIBASE COM DE MAT P CONSTR LTDA","59784868000334","SP","SAO PAULO","AV  ELISEU DE ALMEIDA,3100-,05533-000"
"CONIBASE COM DE MAT P CONSTR LTDA","59784868000334","SP","SAO PAULO","AV  ELISEU DE ALMEIDA,3100-,05533-000"
"CONSMAT FORNECEDORA DE MAT PARA CONSTR LTDA","60416674000101","SP","SAO PAULO","AV GEN ATALIBA LEONEL,2022-2034 46 50 56 60,02033-020"
"CONSMAT FORNECEDORA DE MAT PARA CONSTR LTDA","60416674000101","SP","SAO PAULO","AV GEN ATALIBA LEONEL,2022-2034 46 50 56 60,02033-020"
"CONSTRUDECOR S A","03439316001659","SP","CAMPINAS","ROD  DOM PEDRO I,SN-KM 127 KM KM 127 128 SN BOX 25,13091-903"
"CONSTRUDECOR S A","03439316002205","SP","CARAPICUIBA","AV DES DOUTOR EDUARDO CUNHA DE ABREU,495-2 GALPAO,06328-330"
"CONSTRUDECOR S A","03439316001810","SP","GUARULHOS","R  BARTOLOMEU DE GUSMAO,316-LT Q 20 26 PORT A,07024-010"
"CONSTRUDECOR S A","03439316006707","SP","JUNDIAI","AV  ANTONIO FREDERICO OZANAN,6080-LJ 1,13215-276"
"CONSTRUDECOR S A","03439316007347","SP","OSASCO","AV FRANZ VOEGELI,751-LOTE 7 E 8 QD A,06020-190"
"CONSTRUDECOR S A","03439316007002","SP","RIBEIRAO PRETO","AVENIDA FABIO BARRETO,251-,14050-000"
"CONSTRUDECOR S A","03439316001730","SP","SAO PAULO","AV S MIGUEL,8201-VL JACUI,08070-001"
"CONSTRUDECOR S A","03439316000768","SP","SOROCABA","AV PROFA IZORAIDA MARQUES PERES,401-LJ B,18048-110"
"CONSTRUDECOR S A","03439316001730","SP","SAO PAULO","AV S MIGUEL,8201-VL JACUI,08070-001"
"CONSTRUDECOR S A","03439316000768","SP","SOROCABA","AV PROFA IZORAIDA MARQUES PERES,401-LJ B,18048-110"
"CONSTRUNET MATERIAIS DE CONSTRUCOES LTDA","08172676000174","DF","BRASILIA","JD BOTANICO ETAPA 01 R 01 QD 01 LT 225,SN-,71680-362"
